*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 19:12:13:270359" "Robot State: ,Introduce Nao Started"
"2017-06-14 19:12:16:604833" "Robot State: ,Introduce Nao Ended"
"2017-06-14 19:12:18:221305" "Robot State: ,Looking at The Book"
"2017-06-14 19:12:18:806926" "Robot State: ,TaskONE Selected"
"2017-06-14 19:12:19:822817" "Robot State: ,Looking at The Book"
"2017-06-14 19:12:23:846378" "Robot State: ,Reading Mode Started"
"2017-06-14 19:12:28:264185" "Current Word: ,\rspd=70\  The boy"
"2017-06-14 19:12:28:264422" "Position: x: 0.196346670389
y: 0.130386859179
z: 0.238531529903
x: 0.0222313143313
y: 0.379051208496
z: 0.0974854007363
w: 1.0"
"2017-06-14 19:12:29:805596" "Current Word: ,\rspd=70\ didn't know"
"2017-06-14 19:12:29:805227" "Position: x: 0.206589519978
y: 0.122996546328
z: 0.261224240065
x: 0.00976159144193
y: 0.26542365551
z: 0.0611243098974
w: 1.0"
"2017-06-14 19:12:31:323276" "Current Word: ,\rspd=70\ where"
"2017-06-14 19:12:31:322913" "Position: x: 0.207073330879
y: 0.111740007997
z: 0.258785933256
x: -0.0028053689748
y: 0.275856435299
z: 0.00741521921009
w: 1.0"
"2017-06-14 19:12:32:866738" "Position: x: 0.207636088133
y: 0.100853800774
z: 0.257658928633
x: -0.00198150868528
y: 0.279937148094
z: -0.0452068895102
w: 1.0"
"2017-06-14 19:12:32:867975" "Current Word: ,\rspd=70\ it"
"2017-06-14 19:12:34:411444" "Position: x: 0.207651942968
y: 0.0903268978
z: 0.256736963987
x: -0.000960372562986
y: 0.283064812422
z: -0.096255287528
w: 1.0"
"2017-06-14 19:12:34:412353" "Current Word: ,\rspd=70\ had"
"2017-06-14 19:12:35:903823" "Current Word: ,\rspd=70\ come"
"2017-06-14 19:12:35:903969" "Position: x: 0.207055956125
y: 0.0797947496176
z: 0.25563031435
x: 0.00259596784599
y: 0.287060290575
z: -0.147468999028
w: 1.0"
"2017-06-14 19:12:37:362340" "Position: x: 0.206646621227
y: 0.0703631266952
z: 0.256191849709
x: 0.00966908223927
y: 0.283003956079
z: -0.19383482635
w: 1.0"
"2017-06-14 19:12:37:363092" "Current Word: ,\rspd=70\ from		"
"2017-06-14 19:12:38:902866" "Position: x: 0.182529866695
y: 0.12546390295
z: 0.21237835288
x: 0.00659871473908
